value;replacement
KÿIéÕKOVA;FRANTIäKA KÿIéÕKA
F. LÕBALA;FRANTIäKA LÕBALA
LÕBALOVA;FRANTIäKA LÕBALA
F. ONDRŸäKA;FRANTIäKA ONDRŸäKA
FR. PALACK…HO;FRANTIäKA PALACK…HO
PALACK…HO;FRANTIäKA PALACK…HO
F. PALACK…HO;FRANTIäKA PALACK…HO
FR. äKROUPA;FRANTIäKA äKROUPA
SKROUPOVA;FRANTIäKA äKROUPA
äKROUPOVA;FRANTIäKA äKROUPA
ALBERTO VOJTÃCHA FRI»E;FRI»OVA
DR. FRI»E;FRI»OVA
MSGR. äR¡MKA;FR¡NI äR¡MKA
äR¡MKOVA;FR¡NI äR¡MKA
FR. äR¡MKA;FR¡NI äR¡MKA
G. PREISSOV…;GABRIELY PREISSOV…
GEN. JANKA;GENER¡LA JANKA
JANKOVA;GENER¡LA JANKA
GEN. KHOLLA;GENER¡LA KHOLLA
GEN. KUTLVAäRA;GENER¡LA KUTLVAäRA
GEN. L¡Z¡RO C¡RDENASE;GENER¡LA L¡Z¡RO C¡RDENASE
GEN. PÕKY;GENER¡LA PÕKY
GEN. UCHYTILA;GENER¡LA UCHYTILA
GEN. VLACH…HO;GENER¡LA VLACH…HO
DR. GRUDY;GRUDOVA
KARLA HAMPLA;HAMPLOVA
JOSEFA HAMPLA;HAMPLOVA
ALOISE HANUäE;HANUäOVA
PAVLA HANUäE;HANUäOVA
ZD. HANUäE;HANUäOVA
H. KVAPILOV…;HANY KVAPILOV…
H. MALÕÿOV…;HELENY MALÕÿOV…
H. SALICHOV…;HELENY SALICHOV…
AKAD. HENNERA;HENNEROVA
I. HERRMANNA;HERRMANNOVA
IGN¡TA HERRMANNA;HERRMANNOVA
IGN¡CE HERRMANNA;HERRMANNOVA
AKAD. HEYROVSK…HO;HEYROVSK…HO
JAR. HEYROVSK…HO;HEYROVSK…HO
GEN. HLAœO;HLAœOVA
GEN. HOLEKY;HOLEKOVA
DR. HOLUBA;HOLUBOVA
J. HOLUBA;HOLUBOVA
EMILA HOLUBA;HOLUBOVA
P. HOL…HO;HOL…HO
DR. HOL…HO;HOL…HO
PROKOPA HOL…HO;HOL…HO
DR. IGN¡CE HORNÕ»KA;HORNÕ»KOVA
DR. HOR¡KA;HOR¡KOVA
E. HOR¡KA;HOR¡KOVA
ALOISE HOR¡KA;HOR¡KOVA
JOSEFA HOR¡KA;HOR¡KOVA
JIÿÕHO HOR¡KA;HOR¡KOVA
B. J. HOR¡»KA;HOR¡»KOVA
PPOR. HOR¡»KA;HOR¡»KOVA
DR. HOÿICE;HOÿICOVA
BOHUMILA HRABALA;HRABALOVA
ARNOäTA HRABALA;HRABALOVA
PPLK. HRADECK…HO;HRADECK…HO
MUDR. K. HRADECK…HO;HRADECK…HO
VÃNCESLAVA HRUB…HO;HRUB…HO
PLK. O. HRUB…HO;HRUB…HO
PETRA HRUB…HO;HRUB…HO
JANA HRUB…HO;HRUB…HO
VIL…MA HRUB…HO;HRUB…HO
N¡MÃSTÕ J. HRUB…HO;HRUB…HO
DR. HRUB…HO;HRUB…HO
GEN. HRUäKY;HRUäKOVA
HEÿMANOVA;HUGO HEÿMANA
JANA HUSI;HUSOVA
MISTRA JANA HUSA;HUSOVA
MIKUL¡äE Z HUSI;HUSOVA
J. HUSA;HUSOVA
M. J. HUSA;HUSOVA
U HUSA;HUSOVA
M. J. HUSI;HUSOVA
BOHUMILA H¡JKA;H¡JKOVA
PRIM. H¡JKA;H¡JKOVA
MIROSLAVA H¡JKA;H¡JKOVA
OLBRACHTOVA;IVANA OLBRACHTA
I. OLBRACHTA;IVANA OLBRACHTA
DR. JAHNA;JAHNOVA
ARBESOVA;JAKUBA ARBESA
AUGUSTOVA;JANA AUGUSTY
BAB¡KOVA;JANA BAB¡KA
BLAHOSLAVOVA;JANA BLAHOSLAVA
FRO“KOVA;JANA FRO“KA
KLÕMOVA;JANA KLÕMY
GEN. KLÕMY;JANA KLÕMY
J. MASARYKA;JANA MASARYKA
