'Kod','CislaDomovni','IdentifikacniParcela','TypStavebnihoObjektuKod','ZpusobVyuzitiKod','CastObce','Momc','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','IsknBudovaId','Dokonceni','ZastavenaPlocha','NespravneUdaje','OznacenoDne','OznacenoInfo','IdentifikactniParcela','PocetBytu','PocetPodlazi','PodlahovaPlocha','VybaveniVytahemKod','x','y'
17200571,'26',3037653308,1,3,15431,,,2013-11-16,,397400,454551,305183308,,,,,,,1,1,,9,-725666.88,-1135825
17200580,'27',2540144308,1,3,15431,,,2013-11-16,,397400,454551,305175308,,,,,,,1,1,,2,-725619.13,-1135560.25
17200652,'34',2540135308,1,3,15431,,,2013-11-16,,397400,454551,305192308,,,,,,,2,1,,2,-725457.44,-1135837.13
17200661,'35',2540117308,1,3,15431,,,2013-11-16,,397400,454551,305187308,,,,,,,1,1,,2,-725709.75,-1135891
17200741,'43',2540132308,1,8,15431,,,2013-11-16,,397400,454551,305198308,,,,,,,1,1,,9,-725743.19,-1135810.25
17200750,'44',2540107308,1,,15431,,,2011-07-01,,0,0,,,,,,,,0,,,,-725641.81,-1135741
17200822,'2',2453180308,1,8,19488,,,2013-12-22,,441399,477599,297340308,,,,,,,1,,,9,-742400.87,-1126102.15
17200831,'3',2453181308,1,7,19488,,,2013-12-22,,441399,477599,297409308,,,,,,,1,1,,2,-742429.48,-1126134.68
17200903,'10',2453189308,1,7,19488,,,2013-12-22,,441399,477599,297344308,,,,,,,1,1,,2,-742139.28,-1126295.89
17201004,'20',2453202308,1,7,19488,,,2013-12-22,,441399,477599,297391308,,,,,,,1,1,,2,-742303.41,-1126011.05
17201284,'48',2453226308,1,7,19488,,,2013-12-22,,441399,477599,297367308,,,,,,,1,1,,2,-742565.16,-1125987.84
17201373,'57',3269158308,1,7,19488,,,2013-12-22,,441399,477599,297373308,,,,,,,1,1,,2,-741988.69,-1126416.01
17201454,'66',2453258308,1,7,19488,,,2013-12-22,,441399,477599,297339308,,,,,,,1,1,,2,-742181.53,-1126219.31
17201535,'74',2453279308,1,7,19488,,,2013-12-22,,441399,477599,297389308,,,,,,,1,1,,2,-742128.52,-1126352.47
17201616,'5',2468731308,1,3,19496,,,2013-12-22,,441399,477599,298757308,,,,,,,1,1,,2,-745928.19,-1124098.05
17201705,'14',2468751308,1,3,19496,,,2013-12-22,,441399,477599,298785308,,,,,,,1,1,,9,-745847.13,-1124221.37
17201985,'42',2468777308,1,3,19496,,,2013-12-22,,441399,477599,298750308,,,,,,,1,,,9,-745597.13,-1124206.67
17202086,'52',,1,,19496,,,2011-07-01,,0,0,,,,,,,,,,,,,
17202167,'3',2468837308,2,8,19496,,,2011-07-01,,0,0,298743308,,,,,,,0,,,,-747050.28,-1124222.95
17202248,'11',2468829308,2,8,19496,,,2011-07-01,,0,0,298882308,,,,,,,0,,,,-747126.21,-1123707.88
17202337,'20',2468789308,2,8,19496,,,2011-07-01,,0,0,298813308,,,,,,,0,,,,-746733.73,-1123118.65
17202418,'28',2468815308,2,8,19496,,,2011-07-01,,0,0,298793308,,,,,,,0,,,,-746560.25,-1122944.74
17202698,'56',2468800308,2,8,19496,,,2011-07-01,,0,0,298741308,,,,,,,0,,,,-745733.38,-1122423.74
17202787,'65',2469064308,2,8,19496,,,2011-07-01,,0,0,298845308,,,,,,,0,,,,-747121.09,-1123663.3
17202868,'73',2468854308,2,8,19496,,,2011-07-01,,0,0,298788308,,,,,,,0,,,,-746465.45,-1122922.3
17202949,'82',,2,,19496,,,2011-07-01,,0,0,,,,,,,,0,,,,-746484,-1122899.87
17203031,'7',2735483308,1,7,19500,,,2013-12-22,,441399,477599,334135308,,,,,,,1,1,,2,-742967.6,-1127508.88
17203040,'8',2735481308,1,7,19500,,,2013-12-22,,441399,477599,334107308,,,,,,,1,1,,2,-742978.13,-1127526.39
17203112,'16',2735468308,1,7,19500,,,2013-12-22,,441399,477599,334146308,,,,,,,1,1,,9,-742819.26,-1127307.37
17203121,'17',2735480308,1,7,19500,,,2013-12-22,,441399,477599,334103308,,,,,,,1,1,,9,-742960,-1127589.42
17203481,'7',2776693308,1,7,19518,,,2013-12-22,,441399,477599,338564308,,,,,,,1,1,,2,-744405.33,-1128232.32
17203490,'8',2776676308,1,7,19518,,,2013-12-22,,441399,477599,338556308,,,,,,,1,1,,2,-744423.81,-1128267.86
17203562,'16',2776685308,1,7,19518,,,2013-12-22,,441399,477599,338543308,,,,,,,1,,,9,-744630.17,-1128274.31
17203571,'17',2776673308,1,7,19518,,,2013-12-22,,441399,477599,338547308,,,,,,,1,1,,2,-744446.68,-1128179.24
17203643,'24',2776691308,1,7,19518,,,2013-12-22,,441399,477599,338545308,,,,,,,1,1,,2,-744532.95,-1128343.13
17203732,'9',2459665308,1,3,24881,,,2013-12-22,,441358,477547,297927308,,,,,,,0,1,,2,-739563,-1134599
17203741,'10',2459671308,1,3,24881,,,2011-07-01,,0,0,297928308,,,,,,,0,,,,-739640,-1134603
17203813,'17',2459691308,1,3,24881,,,2013-12-22,,441358,477547,297890308,,,,,,,1,1,,2,-739701.31,-1134431.25
17204194,'7',2467244308,1,3,27391,,,2013-12-22,,441376,477570,298643308,,,,,,,2,1,,2,-727591.56,-1118674.38
17204275,'15',2467270308,1,8,27391,,,2013-12-22,,441376,477570,298652308,,,,,,,1,,,9,-727275.44,-1118740.75
17204364,'24',2467252308,1,3,27391,,,2013-12-22,,441376,477570,298628308,,,,,,,1,1,,9,-727525.81,-1118814.13
17204445,'32',2467256308,1,7,27391,,,2013-12-22,,441376,477570,298706308,,,,,,,1,1,,9,-727403.69,-1118917.63
17204526,'40',2467289308,1,3,27391,,,2011-07-01,,0,0,298719308,,,,,,,0,,,,-727564.5,-1118768.25
17204607,'48',2467306308,1,3,27391,,,2013-12-22,,441376,477570,298641308,,,,,,,1,1,,9,-727658,-1120061.75
17204895,'8',2467550308,2,,27391,,,2011-07-01,,0,0,,,,,,,,0,,,,-728875,-1119263
17204976,'6',2474498308,1,7,31992,,,2013-12-30,,444992,480732,299310308,,,,,,,2,1,,2,-732530.55,-1146739.26
17205077,'16',2474464308,1,7,31992,,,2013-12-30,,444992,480732,299295308,,,,,,,1,1,,2,-732602.91,-1146630.46
17205158,'24',2474487308,1,7,31992,,,2013-12-30,,444992,480732,299333308,,,,,,,1,1,,2,-732586.79,-1146822.62
17205239,'33',2474535308,1,7,31992,,,2013-12-30,,444992,480732,299390308,,,,,,,1,,,9,-732780.36,-1146703.67
17205328,'42',2474477308,1,7,31992,,,2013-12-30,,444992,480732,299356308,,,,,,,1,1,,9,-732754.18,-1146760.8
17205409,'50',2474527308,1,7,31992,,,2013-12-30,,444992,480732,299369308,,,,,,,1,1,,9,-732280.38,-1146724.79
17205697,'80',2474554308,1,7,31992,,,2013-12-30,,444992,480732,299293308,,,,,,,1,1,,2,-732023.84,-1146754.91
17205778,'90',2474591308,1,15,31992,,,2013-12-30,,444992,480732,299386308,,,,,,,0,1,,2,-732659.09,-1146533.96
17205859,'5',2476502308,1,3,32069,,,2013-12-22,,441352,477540,299452308,,,,,,,1,1,,9,-734943.56,-1140654.38
17205921,'12',2476509308,1,7,32069,,,2013-12-22,,441352,477540,299583308,,,,,,,1,1,,2,-735050,-1140736
17205930,'13',2476510308,1,3,32069,,,2013-12-22,,441352,477540,299421308,,,,,,,1,1,,9,-735074.19,-1140761.25
17206022,'22',2476524308,1,7,32069,,,2013-12-22,,441352,477540,299493308,,,,,,,1,1,,9,-735306.06,-1140650.88
17206031,'23',2476525308,1,3,32069,,,2011-07-01,,0,0,299451308,,,,,,,,,,,-735312.75,-1140621.63
17206103,'30',2476542308,1,3,32069,,,2011-07-01,,0,0,299465308,,,,,,,3,,,,-735333.94,-1140570
17206391,'59',2476494308,1,3,32069,,,2013-12-22,,441352,477540,299555308,,,,,,,1,1,,2,-735060.56,-1140678.75
17206472,'67',2476490308,1,7,32069,,,2013-12-22,,441352,477540,299479308,,,,,,,1,1,,2,-735116.56,-1140632.63
17206481,'68',2476513308,1,3,32069,,,2013-12-22,,441352,477540,299476308,,,,,,,1,1,,2,-735157.5,-1140755.38
17206553,'75',2476489308,1,7,32069,,,2013-12-22,,441352,477540,299487308,,,,,,,1,1,,9,-735133.06,-1140649.13
17206642,'84',2476561308,1,7,32069,,,2011-07-01,,0,0,299481308,,,,,,,2,,,,-735563.5,-1140681.13
17206651,'85',2476487308,1,3,32069,,,2013-12-22,,441352,477540,299434308,,,,,,,1,,,9,-735177.5,-1140654.13
17206723,'92',2476568308,1,3,32069,,,2013-12-22,,441352,477540,299501308,,,,,,,1,1,,2,-735109.88,-1140566.5
17206804,'100',2476584308,1,3,32069,,,2013-12-22,,441352,477540,299508308,,,,,,,2,1,,2,-734908.44,-1140414.13
17207185,'2',2490971308,1,3,38831,,,2013-12-26,,443423,479581,300681308,,,,,,,1,,,9,-728010.61,-1111241.35
17207266,'10',2490986308,1,3,38831,,,2013-12-26,,443423,479581,300672308,,,,,,,1,1,,2,-728211.93,-1111188.27
17207355,'19',2491006308,1,7,38831,,,2013-12-26,,443423,479581,300655308,,,,,,,1,1,,9,-728014.52,-1110972.2
17207436,'27',2490955308,1,7,38831,,,2013-12-26,,443423,479581,300645308,,,,,,,1,1,,2,-727954.23,-1110986.96
17207517,'35',2490967308,1,3,38831,,,2013-12-26,,443423,479581,300643308,,,,,,,1,1,,2,-727945.37,-1111211.59
17207606,'44',2491091308,1,3,38831,,,2013-12-26,,443423,479581,300670308,,,,,,,2,1,,2,-728026.5,-1111305.89
17207886,'6',2657533308,1,3,38857,,,2013-12-26,,443423,479581,317988308,,,,,,,1,,,9,-728397.88,-1109173.5
17207967,'14',2657527308,1,3,38857,,,2013-12-26,,443423,479581,317989308,,,,,,,1,1,,9,-728372.88,-1109337.25
17207975,'15',2657529308,1,3,38857,,,2013-12-26,,443423,479581,317980308,,,,,,,1,,,9,-728389.25,-1109266
17208068,'25',2657540308,1,3,38857,,,2013-12-26,,443423,479581,317978308,,,,,,,1,,,9,-728346.13,-1109041.5
17208149,'7',2491035308,1,3,38865,,,2013-12-26,,443423,479581,300652308,,,,,,,1,,,9,-726178.63,-1112799.15
17208211,'4',2493595308,1,3,38938,,,2011-07-01,,0,0,,,,,,,,0,,,,-740342.69,-1132264.75
