'Kod','CisloDomovni','CisloOrientacni','CisloOrientacniPismeno','Psc','StavebniObjekt','Ulice','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo','x','y'
'6639461','63',,,'39201','6594603',,,'2013-12-05',,'423207','469154',,,,'-735395.38','-1135480.75'
'6639569','68',,,'39201','6594654',,,'2013-12-05',,'423207','469154',,,,'-733906.16','-1135144.91'
'6639674','74',,,'39201','6594719',,,'2013-12-05',,'423207','469154',,,,'-733787.59','-1134985.72'
'6639798','80',,,'39201','6594778',,,'2013-12-05',,'423207','469154',,,,'-733951.11','-1135087.11'
'6640052','93',,,'39201','6594905',,,'2013-12-05',,'423207','469154',,,,'-733924.81','-1135628.78'
'6640257','109',,,'39201','6595065',,,'2013-12-05',,'423207','469154',,,,'-733960.54','-1135386.4'
'6640273','111',,,'39201','6595081',,,'2013-12-05',,'423207','469154',,,,'-733989.56','-1135554.01'
'6640311','115',,,'39201','6595120',,,'2013-12-05',,'423207','469154',,,,'-733980.37','-1135508.99'
'6640371','121',,,'39201','6595189',,,'2013-12-05',,'423207','469154',,,,'-733916.33','-1134916.48'
'6640427','126',,,'39201','6595235',,,'2013-12-05',,'423207','469154',,,,'-733914.88','-1134966.82'
'6640443','128',,,'39201','6595251',,,'2013-12-05',,'423207','469154',,,,'-733741.75','-1135010.67'
'6640699','154',,,'39201','6595502',,,'2013-12-05',,'423207','469154',,,,'-733735.99','-1134626.67'
'6641008','24',,,'39201','6595812','572624',,'2013-12-05',,'423207','469154',,,,'-734783.28','-1135259.38'
'6641016','25',,,'39201','6595821','572624',,'2013-12-05',,'423207','469154',,,,'-734774.4','-1135252.27'
'6641113','35',,,'39201','6595928','572624',,'2013-12-05',,'423207','469154',,,,'-734728.19','-1135125.55'
'6641164','41',,,'39201','6595979','572578',,'2013-12-05',,'423207','469154',,,,'-734624.63','-1134292.88'
'6641296','54',,,'39201','6596100','572586',,'2013-12-05',,'423207','469154',,,,'-734954','-1133946'
'6641326','57',,,'39201','6596134','572586',,'2013-12-05',,'423207','469154',,,,'-735030.38','-1133812.5'
'6641661','91',,,'39201','6596479',,,'2013-12-05',,'423207','469154',,,,'-734457.62','-1133954.07'
'6641725','95',,,'39201','6596517','572608',,'2013-12-05',,'423207','469154',,,,'-734553.06','-1134030.96'
'6641741','97',,,'39201','6596533','572608',,'2013-12-05',,'423207','469154',,,,'-734504.5','-1133991.43'
'6641881','9',,,'39201','6596673',,,'2013-12-01',,'413300','462556',,,,'-743085.81','-1136953.75'
'6642080','29',,,'39201','6596878',,,'2013-12-01',,'413300','462556',,,,'-743178.19','-1136791.5'
'6642501','1',,,'39002','6597297',,,'2013-12-05',,'421239','468001',,,,'-731962.46','-1130342.06'
'6642691','20',,,'39002','6597483',,,'2013-12-05',,'421239','468001',,,,'-731874.69','-1130478.38'
'6642764','27',,,'39002','6597556',,,'2011-07-01',,'0','0',,,,,
'6642781','29',,,'39002','6597572',,,'2011-07-01',,'0','0',,,,,
'6642861','37',,,'39002','6597653',,,'2013-12-05',,'421239','468001',,,,'-732103.28','-1130470.08'
'6642993','50',,,'39002','6597785',,,'2011-07-01',,'0','0',,,,,
'6643027','53',,,'39002','6597815',,,'2011-07-01',,'0','0',,,,,
'6643248','75',,,'39002','6598030',,,'2011-07-01',,'0','0',,,,,
'6643281','79',,,'39002','6598072',,,'2011-07-01',,'0','0',,,,,
'6643302','81',,,'39002','6598099',,,'2011-07-01',,'0','0',,,,,
'6643370','88',,,'39002','6598161',,,'2011-07-01',,'0','0',,,,,
'6643442','97',,,'39002','6598234',,,'2011-07-01',,'0','0',,,,,
'6643493','5',,,'39002','6598285',,,'2013-12-05',,'421239','468001',,,,'-733087.81','-1130357.1'
'6643531','9',,,'39002','6598323',,,'2013-12-05',,'421239','468001',,,,'-733070.11','-1130406.89'
'6643558','11',,,'39002','6598340',,,'2013-12-05',,'421239','468001',,,,'-733057','-1130433.4'
'6643574','13',,,'39002','6598366',,,'2013-12-05',,'421239','468001',,,,'-733115.79','-1130357'
'6643621','18',,,'39002','6598412',,,'2013-12-05',,'421239','468001',,,,'-733125.98','-1130684.05'
'6643710','6',,,'39117','6598501',,,'2013-12-05',,'421239','468001',,,,'-730848.25','-1130217.74'
'6643817','16',,,'39117','6598609',,,'2013-12-05',,'421239','468001',,,,'-730548.39','-1130253.35'
'6643825','17',,,'39117','6598617',,,'2013-12-05',,'421239','468001',,,,'-730534.21','-1130345.26'
'6644147','49',,,'39117','6598935',,,'2013-12-05',,'421239','468001',,,,'-730581.32','-1130190.58'
'6644155','50',,,'39117','6598943',,,'2013-12-05',,'421239','468001',,,,'-730595.26','-1130193.39'
'6644163','51',,,'39117','6598951',,,'2013-12-05',,'421239','468001',,,,'-730613.72','-1130174.42'
'6644244','59',,,'39117','6599036',,,'2013-12-05',,'421239','468001',,,,'-730854.68','-1130064'
'6644317','66',,,'39117','6599109',,,'2013-12-05',,'421239','468001',,,,'-730287.57','-1130290.05'
'6644325','67',,,'39117','6599117',,,'2013-12-05',,'421239','468001',,,,'-730988.57','-1130030.18'
'6644376','72',,,'39117','6599168',,,'2013-12-05',,'421239','468001',,,,'-730787.65','-1130139.06'
'6644414','76',,,'39117','6599206',,,'2013-12-05',,'421239','468001',,,,'-731077.9','-1130085.57'
'6644686','103',,,'39117','6599478',,,'2013-12-05',,'421239','468001',,,,'-730854.98','-1130010.48'
'6644724','107',,,'39117','6599516',,,'2013-12-05',,'421239','468001',,,,'-730752.76','-1130184.5'
'6644805','115',,,'39117','6599591',,,'2013-12-05',,'421239','468001',,,,'-730307.76','-1130163.55'
'6644902','125',,,'39117','6599699',,,'2013-12-05',,'421239','468001',,,,'-730490.45','-1130161.73'
'6644929','127',,,'39117','6599711',,,'2013-12-05',,'421239','468001',,,,'-730183.62','-1130435.51'
