'Kod','Nazev','Obec','Pou','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo'
575844,'Filipovská',552046,,,2011-07-01,,0,0,,,
576115,'Jihlavská',552046,,,2014-03-10,,551219,553308,,,
576247,'Kánišova',552046,,,2011-07-01,,0,0,,,
576409,'Krakovská',552046,,,2014-02-25,,536114,543320,,,
576425,'Krátká',552046,,,2014-05-24,,608971,585142,,,
576476,'Petrohradská',552046,,,2014-05-26,,609050,585036,,,
576514,'Lidická',552046,,,2011-07-01,,0,0,,,
576611,'Martínka Húsky',552046,,,2011-07-01,,0,0,,,
576671,'Zborovská',552046,,,2011-07-01,,0,0,,,
577031,'Pintova',552046,,,2014-05-07,,597036,579168,,,
577120,'Polní',552046,,,2011-07-01,,0,0,,,
577502,'Světlogorská',552046,,,2011-07-01,,0,0,,,
577529,'Šelmberská',552046,,,2011-07-01,,0,0,,,
577758,'U Jednoty',552046,,,2011-07-01,,0,0,,,
577898,'U Výzkumné stanice',552046,,,2013-10-25,,378903,448188,,,
577944,'V Lípách',552046,,,2011-07-01,,0,0,,,
578100,'Zavadilská',552046,,,2014-02-25,,536114,543320,,,
578550,'Hlinice',553271,,,2013-09-10,,339299,435254,,,
578614,'J. V. Sládka',553271,,,2013-11-19,,400265,456453,,,
578622,'Jateční',553271,,,2011-07-01,,0,0,,,
578711,'Krátká',553271,,,2011-07-01,,0,0,,,
578754,'Maredova',553271,,,2011-07-01,,0,0,,,
578771,'Mánesova',553271,,,2011-07-01,,0,0,,,
578819,'Na Skalce',553271,,,2011-07-01,,0,0,,,
578878,'Nová',553271,,,2013-11-19,,400265,456453,,,
579033,'K. H. Máchy',553271,,,2011-07-01,,0,0,,,
579106,'Budějovická',553271,,,2013-09-10,,339299,435254,,,
689564,'Jedlová',552046,,,2014-05-07,,597036,579168,,,
692034,'garáže-Černé mosty',552046,,,2011-07-01,,0,0,,,
745081,'Slunečná',552046,,,2013-10-25,,378903,448188,,,
768375,'Karasová',552828,,,2011-07-01,,0,0,,,
772640,'A. Sedláčka',553069,,,2011-07-01,,0,0,,,
781509,'Luční',552054,,,2011-07-01,,0,0,,,
784206,'U Vodičků',553131,,,2011-07-01,,0,0,,,
810291,'V Ohradách',552046,,,2011-07-01,,0,0,,,
